user_id,age,device_type,time_of_day,preferred_language,industry,role,tech_savviness,completion_time_mins,tutorials_watched,help_accessed,features_explored,path_chosen,onboarding_complete,retention_7_day,satisfaction_score
1,24,mobile,evening,English,Technology,Developer,high,12,4,1,8,technical,true,true,9
2,35,desktop,morning,Filipino,Education,Teacher,medium,18,6,3,5,guided,true,true,8
3,42,tablet,afternoon,English,Healthcare,Manager,low,25,8,5,3,basic,true,false,6
4,19,mobile,night,Filipino,Student,Student,high,10,3,0,7,technical,true,true,9
5,28,desktop,morning,English,Finance,Analyst,medium,15,5,2,6,guided,true,true,8
6,31,mobile,evening,Filipino,Retail,Owner,low,22,7,4,4,basic,false,false,5
7,45,desktop,afternoon,English,Technology,Manager,high,14,4,1,9,technical,true,true,9
8,29,mobile,morning,Filipino,Healthcare,Nurse,medium,20,6,3,5,guided,true,false,7
9,33,tablet,night,English,Education,Professor,high,16,5,2,7,technical,true,true,8
10,27,mobile,evening,Filipino,Finance,Accountant,medium,19,5,2,6,guided,true,true,8
11,38,desktop,morning,English,Retail,Manager,low,23,7,4,4,basic,false,false,5
12,22,mobile,afternoon,Filipino,Technology,Developer,high,11,4,1,8,technical,true,true,9
13,36,desktop,night,English,Healthcare,Doctor,medium,17,5,2,6,guided,true,true,8
14,41,tablet,evening,Filipino,Education,Teacher,low,24,8,5,3,basic,true,false,6
15,25,mobile,morning,English,Finance,Analyst,high,13,4,1,8,technical,true,true,9
16,30,desktop,afternoon,Filipino,Retail,Supervisor,medium,18,6,3,5,guided,true,true,8
17,34,mobile,night,English,Technology,Designer,high,15,4,1,7,technical,true,true,9
18,43,desktop,evening,Filipino,Healthcare,Administrator,low,21,7,4,4,basic,false,false,5
19,26,mobile,morning,English,Education,Researcher,high,12,4,1,8,technical,true,true,9
20,32,tablet,afternoon,Filipino,Finance,Manager,medium,19,5,2,6,guided,true,true,8
21,39,mobile,night,English,Retail,Owner,low,23,7,4,4,basic,false,false,5
22,23,desktop,evening,Filipino,Technology,Developer,high,11,4,1,8,technical,true,true,9
23,37,mobile,morning,English,Healthcare,Nurse,medium,18,6,3,5,guided,true,true,8
24,44,desktop,afternoon,Filipino,Education,Professor,low,22,7,4,4,basic,true,false,6
25,28,tablet,night,English,Finance,Analyst,high,14,4,1,7,technical,true,true,9
26,31,mobile,evening,Filipino,Retail,Manager,medium,19,5,2,6,guided,true,true,8
27,35,desktop,morning,English,Technology,Designer,high,13,4,1,8,technical,true,true,9
28,40,mobile,afternoon,Filipino,Healthcare,Doctor,low,24,8,5,3,basic,false,false,5
29,24,desktop,night,English,Education,Teacher,high,12,4,1,8,technical,true,true,9
30,33,tablet,evening,Filipino,Finance,Accountant,medium,17,5,2,6,guided,true,true,8
31,29,mobile,morning,English,Retail,Supervisor,low,21,7,4,4,basic,true,false,6
32,36,desktop,afternoon,Filipino,Technology,Developer,high,11,4,1,8,technical,true,true,9
33,42,mobile,night,English,Healthcare,Manager,medium,18,6,3,5,guided,true,true,8
34,27,desktop,evening,Filipino,Education,Researcher,high,13,4,1,7,technical,true,true,9
35,34,tablet,morning,English,Finance,Analyst,low,22,7,4,4,basic,false,false,5
36,38,mobile,afternoon,Filipino,Retail,Owner,high,12,4,1,8,technical,true,true,9
37,25,desktop,night,English,Technology,Designer,medium,19,5,2,6,guided,true,true,8
38,32,mobile,evening,Filipino,Healthcare,Nurse,low,23,7,4,4,basic,true,false,6
39,41,desktop,morning,English,Education,Professor,high,14,4,1,7,technical,true,true,9
40,30,tablet,afternoon,Filipino,Finance,Manager,medium,18,6,3,5,guided,true,true,8
41,37,mobile,night,English,Retail,Supervisor,high,13,4,1,8,technical,true,true,9
42,43,desktop,evening,Filipino,Technology,Developer,low,24,8,5,3,basic,false,false,5
43,26,mobile,morning,English,Healthcare,Doctor,high,12,4,1,8,technical,true,true,9
44,35,desktop,afternoon,Filipino,Education,Teacher,medium,17,5,2,6,guided,true,true,8
45,39,tablet,night,English,Finance,Analyst,low,21,7,4,4,basic,true,false,6
46,28,mobile,evening,Filipino,Retail,Manager,high,11,4,1,8,technical,true,true,9
47,33,desktop,morning,English,Technology,Designer,medium,18,6,3,5,guided,true,true,8
48,44,mobile,afternoon,Filipino,Healthcare,Administrator,high,13,4,1,7,technical,true,true,9
49,31,desktop,night,English,Education,Researcher,low,22,7,4,4,basic,false,false,5
50,36,tablet,evening,Filipino,Finance,Accountant,high,12,4,1,8,technical,true,true,9
51,40,mobile,morning,English,Retail,Owner,medium,19,5,2,6,guided,true,true,8
52,27,desktop,afternoon,Filipino,Technology,Developer,low,23,7,4,4,basic,true,false,6
53,34,mobile,night,English,Healthcare,Nurse,high,14,4,1,7,technical,true,true,9
54,38,desktop,evening,Filipino,Education,Professor,medium,18,6,3,5,guided,true,true,8
55,42,tablet,morning,English,Finance,Analyst,high,13,4,1,8,technical,true,true,9
56,29,mobile,afternoon,Filipino,Retail,Supervisor,low,24,8,5,3,basic,false,false,5
57,35,desktop,night,English,Technology,Designer,high,12,4,1,8,technical,true,true,9
58,41,mobile,evening,Filipino,Healthcare,Doctor,medium,17,5,2,6,guided,true,true,8
59,32,desktop,morning,English,Education,Teacher,low,21,7,4,4,basic,true,false,6
60,37,tablet,afternoon,Filipino,Finance,Manager,high,11,4,1,8,technical,true,true,9
61,43,mobile,night,English,Retail,Owner,medium,18,6,3,5,guided,true,true,8
62,30,desktop,evening,Filipino,Technology,Developer,high,13,4,1,7,technical,true,true,9
63,36,mobile,morning,English,Healthcare,Administrator,low,22,7,4,4,basic,false,false,5
64,40,desktop,afternoon,Filipino,Education,Researcher,high,12,4,1,8,technical,true,true,9
65,28,tablet,night,English,Finance,Analyst,medium,19,5,2,6,guided,true,true,8
66,33,mobile,evening,Filipino,Retail,Manager,low,23,7,4,4,basic,true,false,6
67,39,desktop,morning,English,Technology,Designer,high,14,4,1,7,technical,true,true,9
68,44,mobile,afternoon,Filipino,Healthcare,Nurse,medium,18,6,3,5,guided,true,true,8
69,31,desktop,night,English,Education,Professor,high,13,4,1,8,technical,true,true,9
70,35,tablet,evening,Filipino,Finance,Accountant,low,24,8,5,3,basic,false,false,5
71,41,mobile,morning,English,Retail,Supervisor,high,12,4,1,8,technical,true,true,9
72,27,desktop,afternoon,Filipino,Technology,Developer,medium,17,5,2,6,guided,true,true,8
73,34,mobile,night,English,Healthcare,Doctor,low,21,7,4,4,basic,true,false,6
74,38,desktop,evening,Filipino,Education,Teacher,high,11,4,1,8,technical,true,true,9
75,42,tablet,morning,English,Finance,Analyst,medium,18,6,3,5,guided,true,true,8
76,29,mobile,afternoon,Filipino,Retail,Owner,high,13,4,1,7,technical,true,true,9
77,36,desktop,night,English,Technology,Designer,low,22,7,4,4,basic,false,false,5
78,40,mobile,evening,Filipino,Healthcare,Administrator,high,12,4,1,8,technical,true,true,9
79,32,desktop,morning,English,Education,Researcher,medium,19,5,2,6,guided,true,true,8
80,37,tablet,afternoon,Filipino,Finance,Manager,low,23,7,4,4,basic,true,false,6
81,43,mobile,night,English,Retail,Supervisor,high,14,4,1,7,technical,true,true,9
82,30,desktop,evening,Filipino,Technology,Developer,medium,18,6,3,5,guided,true,true,8
83,35,mobile,morning,English,Healthcare,Nurse,high,13,4,1,8,technical,true,true,9
84,39,desktop,afternoon,Filipino,Education,Professor,low,24,8,5,3,basic,false,false,5
85,28,tablet,night,English,Finance,Analyst,high,12,4,1,8,technical,true,true,9
86,33,mobile,evening,Filipino,Retail,Manager,medium,17,5,2,6,guided,true,true,8
87,41,desktop,morning,English,Technology,Designer,low,21,7,4,4,basic,true,false,6
88,34,mobile,afternoon,Filipino,Healthcare,Doctor,high,11,4,1,8,technical,true,true,9
89,38,desktop,night,English,Education,Teacher,medium,18,6,3,5,guided,true,true,8
90,42,tablet,evening,Filipino,Finance,Accountant,high,13,4,1,7,technical,true,true,9